"ACCT", "240", "FINANCIAL ACCOUNTING", "An introduction to the theory and practice of accounting and financial reporting. Topics include the accounting cycle, financial statements and accounting for assets, liabilities, equities, revenues and expenses.", "", "4"
"ACCT", "245", "MANAGERIAL ACCOUNTING", "An introduction to the use of accounting information by managers. Topics include the use of accounting information for planning and control, performance evaluation, decision-making, and the statement of cash flows, along with financial statement analysis.", " ACCT 240", "4"
"ACCT", "321", "ACCOUNTING INFORMATION SYSTEMS I", "An introduction to the subject of information system&#8217;s role in accomplishing the objectives of financial accounting, managerial accounting, tax accounting and auditing. Systems covered include manual accounting, computerized accounting, and Internet electronic commerce applications. Additional topics include internal controls, systems analysis, systems design and systems implementation.", " Majors only. ACCT 245, MIS 220 or equivalent skills", "4"
"ACCT", "331", "COST MANAGEMENT", "Procedures used for classifying, recording, summarizing and allocating current, and estimated costs for planning, controlling and reporting purposes.", " Majors only. ACCT 245, DSCI 205, MIS 220 or equivalent skills.", "4"
"ACCT", "341", "INTERMEDIATE ACCOUNTING THEORY AND PRACTICE I", "An in-depth study of accounting theory and practice for students who require more than introductory coverage. Both conceptual and application topics are studied.", " Majors Only. ACCT 245", "4"
"ACCT", "342", "INTERMEDIATE ACCOUNTING THEORY AND PRACTICE II", "A continuation of ACCT 341 covering complex topics in accounting and financial reporting.", " Majors Only. ACCT 341", "4"
"ACCT", "343", "INTERMEDIATE ACCOUNTING THEORY AND PRACTICE III", "A continuation of ACCT 342 covering complex topics in accounting and financial reporting. Special topics, existing and emerging issues in accounting.", " Majors Only. ACCT 342", "4"
"ACCT", "375", "INCOME TAXATION I", "Taxation of individuals and sole proprietorships. Introduction to tax planning and sources of authority of tax law.", " Majors Only. ACCT 240", "4"
"ACCT", "421", "ACCOUNTING INFORMATION SYSTEMS II", "Principles and techniques of database technology as applied to modern accounting information systems, uses of database technology for transaction processing and analysis. Systems documentation techniques and the auditing of computerized accounting systems. Format will be lecture, discussion, computer presentations and computer lab assignments.", " Majors Only. ACCT 321", "4"
"ACCT", "431", "TOPICS IN MANAGEMENT ACCOUNTING", "Focuses on responsibility accounting, performance measurement and evaluation, and budgeting and control in various types of organizations. Additional topics may include quantitative methods in decision making and other current issues in management accounting.", " Majors Only. ACCT 331", "4"
"ACCT", "435", "SEMINAR IN COST MANAGEMENT", "Provides an in-depth study of cost management systems. Topics include activity-based management, Japanese cost management techniques, and strategic cost management.", " Majors Only. ACCT 331", "4"
"ACCT", "441", "ADVANCED ACCOUNTING THEORY AND PRACTICE", "An introduction to business combinations and fund accounting. Partnerships, SEC reporting, interim reports and other topics.", " Majors Only. ACCT 343", "4"
"ACCT", "444", "FINANCIAL STATEMENT PRESENTATION AND ANALYSIS", "Study of reporting issues from a management perspective. Introduction to the tools and techniques of financial statement analysis. Use of financial statements by external and internal decision makers. Emphasis on the development of communication and computer skills.", " Majors only. ACCT 343.", "4"
"ACCT", "447", "ACCOUNTING IN NOT-FOR-PROFIT ORGANIZATIONS", "An examination of accounting and financial reporting in governmental and not-for-profit entities and an introduction to the use of accounting information in the management of these organizations.", " Majors Only. ACCT 343 or concurrent.", "4"
"ACCT", "451", "INTERNATIONAL ACCOUNTING", "Analysis of accounting for multinationals; area studies of accounting and financial reporting standards; and an evaluation of the international accounting harmonization effort.", " Majors Only. ACCT 343", "4"
"ACCT", "461", "AUDITING THEORY AND PRACTICE", "A study of the role of auditing and auditors in corporate financial reporting, and the importance of this role to the public. Topics covered include the audit planning process, audit reports, professional standards, and the legal and ethical responsibilities of auditors to their clients, the accounting profession and to the public.", " Majors Only. ACCT 321, ACCT 343", "4"
"ACCT", "462", "ADVANCED AUDITING", "In-depth exposure to a variety of aspects of the theory and practice of professional auditing. Topics may include auditing theory and research, economic function of audits, professional standards and malpractice, new auditing techniques and services. Cases, readings, individual research, and discussion.", " Majors Only. ACCT 461", "4"
"ACCT", "470", "LAW OF COMMERCIAL TRANSACTIONS", "Legal principles underlying the law of contracts, sales, secured transactions, real property security, bankruptcy and suretyship.", " Majors Only. MGMT 271", "4"
"ACCT", "475", "INCOME TAXATION II", "Taxation of corporations and partnerships. Advanced topics in tax planning and compliance.", " Majors Only. ACCT 375", "4"
"ACCT", "477", "TAX RESEARCH AND PLANNING", "An in-depth look at tax research and tax planning. Students will gain proficiency in tax research and apply this skill to a variety of federal taxation issues and case studies.", " Majors Only. ACCT 375", "4"
"ACCT", "484", "ENVIRONMENTAL ACCOUNTING/ SUSTAINABILITY REPORTING", "An in-depth analysis of accounting for the natural environment. Readings, discussion and case analyses cover current issues, such as financial reporting and disclosure, management decision making and evaluation techniques, taxation and the profession&#8217;s role in environmental issues.", " Majors Only. ACCT 331, ACCT 343, ACCT 375 or concurrent.", "4"
"ACCT", "490", "INTERNSHIP IN ACCOUNTING", "Practical application of academic curriculum beyond that contained in normal undergraduate course work. Internship may not be substituted for a required or elective accounting course.", " Majors Only. ACCT 341; minimum 2.75 GPA in 300/400-level accounting courses", "1"
"AMST", "202", "THE AMERICAN INDIAN EXPERIENCE", "The social and cultural evolution of the first peoples of the Americas. Focus on such aspects as education, self-determination, health issues and urbanization as they impact native indigenous populations. Also listed as FAIR 263B on an S/U grading basis.", "", "3"
"AMST", "203", "THE HISPANO/A-AMERICAN EXPERIENCE", "The development of the Hispano/a-American community, with emphasis on its history, its social and political institutions, and the effects of education, continuing immigration and economic stratification. Also offered as FAIR 218C.", " Also offered as FAIR 218C.", "3"
"AMST", "204", "THE AFRICAN-AMERICAN EXPERIENCE", "An overview of African-American history from an interdisciplinary perspective. Emphasis is on the struggle for social and political equality in a developing capitalist economy. The contemporary social, economic and political life of African Americans also will be examined. Also offered as FAIR 219D.", "", "3"
